IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Product Code;Usage Type; [lineItem/Operation];lineItem/LineItemDescription
;;;;;AmazonMacie;;;
;;;;;AmazonMSK;;;Tax%
;;;;;AmazonMSK;;RunBroker;
;;;;;AmazonMSK;%Storage.GP2;;
;;;;;AmazonMSK;%Bytes;;
;;;;;AmazonPolly;;;
;;;;;AmazonPersonalize;;;Tax%
;;;;;AmazonPersonalize;%TPS-hours;;
;;;;;AmazonPersonalize;%TrainingHour;;
;;;;;AmazonPersonalize;%DataIngestion;;
;;;;;AmazonS3;%DataTransfer%;;
;;;;;AmazonS3;%AWS-%ytes;;
;;;;;AmazonS3;%DataXfer%;;
;;;;;AmazonS3;%Retrieval-Bytes%;;
;;;;;AmazonS3;%S3RTC%-Bytes%;;
;;;;;AmazonS3;%Retrieval-ZIA;;
;;;;;AmazonS3;%CloudFront%Bytes;;
;;;;;AmazonS3%;;;Tax%
;;;;;AmazonS3;%Retrieval-SIA%;;
;;;;;AmazonS3;%TimedStorage-ByteHrs;;
;;;;;AmazonS3;%TimedStorage-GlacierByteHrs;;
;;;;;AmazonS3;%TimedStorage-GlacierStaging;;
;;;;;AmazonS3;%TimedStorage-GDA-ByteHrs;;
;;;;;AmazonS3;%TimedStorage-GDA-Staging;;
;;;;;AmazonS3;%TimedStorage-INT-FA-ByteHrs;;
;;;;;AmazonS3;%TimedStorage-INT-IA-ByteHrs;;
;;;;;AmazonS3;%TimedStorage-RRS-ByteHrs;;
;;;;;AmazonS3;%TimedStorage-ZIA%;;
;;;;;AmazonS3;%TimedStorage-SIA%;;
;;;;;AmazonS3;%Monitoring-Automation-INT;;
;;;;;AmazonS3;%EarlyDelete-GDA;;
;;;;;AmazonS3;%EarlyDelete-INT;;
;;;;;AmazonS3;%EarlyDelete-ZIA%;;
;;;;;AmazonS3;%EarlyDelete-SIA%;;
;;;;;AmazonS3;%Requests%Tier1;;
;;;;;AmazonS3;%Requests%Tier2;;
;;;;;AmazonS3;%Requests%Tier3;;
;;;;;AmazonS3;%Requests%Tier4;;
;;;;;AmazonS3;%Requests%Tier5;;
;;;;;AmazonS3;%Requests%Tier6;;
;;;;;AmazonS3;%TagStorage-TagHrs%;;
;;;;;AmazonS3;%Inventory-ObjectsListed;;
;;;;;AmazonS3;BatchOperations%;;
;;;;;AmazonS3;%EarlyDelete-ByteHrs%;;
;;;;;AmazonES;;;Tax%
;;;;;AmazonES;%DataTransfer%Bytes;;
;;;;;AmazonES;%AWS%Bytes;;
;;;;;AmazonES;%ES:GP2-Storage%;;
;;;;;AmazonES;%ES:Magnetic-Storage;;
;;;;;AmazonES;%ESInstance%;;
;;;;;AmazonES;%HeavyUsage%;;
;;;;;AmazonES;%PIOPS%;;
;;;;;AmazonES;%CloudFront%;;
